safety_margin,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0.15,4,2,Hybrid,1,24.167548894882202,354,242,160.49581682018268
0.15,4,3,Hybrid,1,12.7010498046875,473,195,122.5087480914678
0.15,4,4,GoalBias,1,9.48040509223938,366,278,156.27097259198413
0.15,4,4,Hybrid,1,11.19923710823059,136,205,151.30735238253288
0.15,4,4,RRT*,1,12.460950136184692,364,364,141.74311835414724
0.15,4,5,GoalBias,1,3.894930839538574,93,130,157.39444100229844
0.15,4,5,RRT*,1,8.572010040283203,378,249,185.39886196058296
0.15,4,5,Hybrid,1,9.883556842803955,118,153,112.55861736038965
0.15,4,6,GoalBias,1,4.881716966629028,209,147,178.930327722567
0.15,3,4,GoalBias,0,,,,
0.15,4,7,GoalBias,1,2.554370641708374,43,93,112.56709558277453
0.15,4,6,RRT*,1,17.190407752990723,499,468,138.22407353924336
0.15,4,7,RRT*,1,10.15445613861084,315,314,128.85135398729744
0.15,4,7,Hybrid,1,9.4667329788208,77,156,144.6835184096551
0.15,4,8,GoalBias,1,3.9151759147644043,127,133,139.4128630957295
0.15,4,6,Hybrid,1,16.367244958877563,62,174,132.0517722684254
0.15,4,8,RRT*,1,12.495457172393799,489,286,117.19574702455267
0.15,4,8,Hybrid,1,16.072333097457886,62,184,140.44213388610086
0.15,4,9,GoalBias,1,12.751343727111816,392,339,122.20437641137985
0.15,4,9,RRT*,1,15.795128107070923,460,413,193.73792179202394
0.3,0,0,GoalBias,1,5.350893974304199,146,153,146.6478161965865
0.3,0,0,RRT*,1,7.203227996826172,227,233,167.27506061904174
0.3,0,0,Hybrid,1,6.744764804840088,393,181,138.65426469232904
0.3,0,1,RRT*,1,4.374358654022217,99,159,115.57293194181437
0.3,0,1,Hybrid,1,2.3066511154174805,54,90,137.7344597767417
0.3,0,2,GoalBias,1,4.159969091415405,98,154,147.3778204319594
0.15,4,9,Hybrid,1,25.021247148513794,79,181,109.37393229289295
0.3,0,1,GoalBias,1,12.308658838272095,577,269,176.00164301131883
0.3,0,2,Hybrid,1,5.439571857452393,207,165,167.21625159841702
0.3,0,2,RRT*,1,10.681062936782837,351,303,176.7111363292916
0.3,0,3,Hybrid,1,3.3223721981048584,75,98,111.85873218700792
0.3,0,3,GoalBias,1,7.410814046859741,324,195,136.05265274487434
0.3,0,4,GoalBias,1,4.2380688190460205,156,141,133.65555710758196
0.3,0,3,RRT*,1,14.444675207138062,380,400,116.28022373676964
0.3,0,4,Hybrid,1,8.547982931137085,546,208,171.4570985447876
