gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
3.5,3,7,RRT*,1,14.510140895843506,556,466,174.1641825490561
3.5,3,7,GoalBias,1,4.7756123542785645,177,211,110.92370986839322
3.5,3,7,Hybrid,1,12.394794940948486,294,295,117.62719285677966
3.5,3,8,RRT*,1,11.557936191558838,490,405,195.09756900975964
3.5,3,8,Hybrid,1,3.2055492401123047,188,164,162.1347460366201
3.5,3,8,GoalBias,1,29.700132846832275,1117,751,207.19152466961208
3.5,3,9,RRT*,1,25.57917094230652,983,672,192.0664182777064
3.5,3,9,GoalBias,1,9.565245389938354,538,314,115.1195274232351
3.5,3,9,Hybrid,1,19.63363766670227,981,444,221.30616354144416
3.5,4,0,RRT*,1,18.01281213760376,816,558,122.74055700951352
3.5,4,0,GoalBias,1,11.437198877334595,674,404,191.8329580667574
3.5,4,1,RRT*,1,18.997055053710938,880,551,192.11060415369892
3.5,4,1,GoalBias,1,2.6563141345977783,70,142,109.66155683790831
3.5,4,1,Hybrid,1,3.835164785385132,169,187,147.50057641822215
3.5,4,2,RRT*,1,6.170245885848999,291,260,117.31884668832053
3.5,4,2,GoalBias,1,11.605371952056885,661,418,189.0490334636803
3.5,3,1,Hybrid,1,209.80542612075806,1329,984,202.1045253439889
3.5,4,3,RRT*,1,8.040886163711548,407,329,114.11383673009992
3.5,4,2,Hybrid,1,10.32854700088501,265,267,136.43348962820505
3.5,4,3,GoalBias,1,2.171034097671509,54,130,153.58629812798233
3.5,4,3,Hybrid,1,3.415461778640747,183,149,114.64757904153734
3.5,4,4,RRT*,1,7.709583044052124,265,325,164.54735228852175
3.5,4,4,Hybrid,1,3.8283438682556152,174,160,87.06567747960867
3.5,4,5,RRT*,1,8.899847030639648,388,345,157.5181726023842
3.5,4,4,GoalBias,1,20.129114866256714,1190,583,185.2769209175649
3.5,4,5,Hybrid,1,5.960188865661621,222,227,164.7324915514648
3.5,4,0,Hybrid,1,102.34404397010803,888,701,198.80999389949963
