success,path_length,travel_time,planning_ms,mean_curvature,max_curvature,smoothness,min_static_clearance,min_dynamic_clearance,scene,split,difficulty,method,footprint_collisions
0,1.5974999999999935,3.5,248.027458001161,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,13.699156171542462,15,test,simple,RCRA*+DWA,0
1,15.38999999999998,17.1,0.2990829998452682,0.0,0.0,0.0,1.5999999999999996,4.322557113561391,15,test,simple,A*+UA,0
1,15.38999999999998,17.1,2.121458001056453,0.0,0.0,0.0,1.5999999999999996,4.322557113561391,15,test,simple,RCRA*+UA (Ours),0
0,9.853345329447619,38.800000000000004,603.282666997984,0.38750306053177325,0.40558721647824947,0.005254814646966729,1.026409875994496,11.033076218259273,16,test,moderate,A*+DWA,225
0,2.5875000000000026,10.0,718.5026669976651,0.385307855654337,0.40558721647824947,0.01229052171146213,1.305585633724108,17.15697241162422,16,test,moderate,Hybrid A*+TEB,0
0,3.892499999999994,5.300000000000001,26.018833999842172,0.09948365687202343,0.40558721647824947,0.007799754163043259,0.9612635148308087,14.857259764781551,16,test,moderate,Greedy+APF,0
0,9.853345329447619,38.800000000000004,558.1901660007134,0.38750306053177325,0.40558721647824947,0.005254814646966729,1.026409875994496,11.033076218259273,16,test,moderate,RCRA*+DWA,225
0,62.85423229260738,180.0,2.639082998939557,0.32846601610693005,0.40558721647824947,0.0016274335825571748,0.024785065021151943,1.2964362971273158,16,test,moderate,A*+UA,530
0,40.99734637094283,180.0,10.239292001642752,0.40358903524270695,0.40558721647824947,0.0009928105675880631,0.053028717602608674,8.675594269949517,16,test,moderate,RCRA*+UA (Ours),852
0,1.5974999999999935,3.5,236.67829099940718,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,6.302836617196272,17,test,hard,A*+DWA,0
0,6.019145932175365,14.8,305.1661249992321,0.21633235729387357,0.27336157330256305,0.004755859568822266,1.109958952033097,4.333512701796161,17,test,hard,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.762667001457885,0.0,0.0,0.0,1.5999999999999996,2.993659967330956,17,test,hard,Greedy+APF,0
0,1.5974999999999935,3.5,238.55983400062541,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,6.302836617196272,17,test,hard,RCRA*+DWA,0
0,46.31121796027358,180.0,0.47324999832198955,0.3858868924512828,0.40558721647824947,0.0015828290222538667,0.0450819107881779,1.9207255148586693,17,test,hard,A*+UA,813
0,46.31121796027358,180.0,2.670458001375664,0.3858868924512828,0.40558721647824947,0.0015828290222538667,0.0450819107881779,1.9207255148586693,17,test,hard,RCRA*+UA (Ours),813
0,0.08999999999999986,0.1,231.02750000180095,0.0,0.0,0,1.6000000000000005,4.645438622993528,18,test,simple,A*+DWA,0
0,0.08999999999999986,0.1,296.6832499987504,0.0,0.0,0,1.6000000000000005,4.645438622993528,18,test,simple,Hybrid A*+TEB,0
0,7.54495824580591,15.3,13.778375003312249,0.2300167245069477,0.40558721647824947,0.013948313385776494,1.1882059938101506,0.18697711401821604,18,test,simple,Greedy+APF,0
0,0.08999999999999986,0.1,239.58054199829348,0.0,0.0,0,1.6000000000000005,4.645438622993528,18,test,simple,RCRA*+DWA,0
0,0.0,0.0,2.1442090001073666,0.0,0.0,0,1.6000000000000005,4.68187996428785,18,test,simple,A*+UA,1
0,0.0,0.0,9.12616700225044,0.0,0.0,0,1.6000000000000005,4.68187996428785,18,test,simple,RCRA*+UA (Ours),1
