overlap,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0,1,2,GoalBias,1,11.657980918884277,430,353,167.5523323399003
0,1,3,GoalBias,1,10.420755863189697,320,302,148.08731646086372
0,1,2,Hybrid,1,12.874699115753174,478,272,143.08751989720722
0,1,3,Hybrid,1,10.194379091262817,343,256,145.38015674389655
0,1,4,GoalBias,1,7.634165048599243,212,241,175.3060783505387
0,1,3,RRT*,1,19.454497814178467,553,496,161.03876972823096
0,1,4,Hybrid,1,3.950692892074585,146,135,135.00628639961582
0,1,5,RRT*,1,7.307937860488892,208,220,159.91342266485148
0,1,5,Hybrid,1,5.83027195930481,174,161,126.00883957318159
0,1,4,RRT*,1,17.37740993499756,517,439,191.73953367943528
0,1,6,Hybrid,1,4.638917922973633,113,145,126.23454439620755
0,1,6,GoalBias,1,9.974074840545654,293,291,154.56540052364375
0,1,7,GoalBias,1,3.4822118282318115,83,120,126.5052696780542
0,1,7,Hybrid,1,5.03292989730835,212,170,155.54539480798786
0,1,6,RRT*,1,22.56061100959778,592,580,160.26037183262457
0,1,8,RRT*,1,4.243736982345581,136,162,125.5630043206789
0,1,5,GoalBias,1,35.48691010475159,928,726,150.43655542887197
0,1,8,GoalBias,1,6.7604029178619385,231,213,144.60435649640183
0,1,8,Hybrid,1,5.730015993118286,201,169,129.3773380088531
0,1,7,RRT*,1,24.36014223098755,687,595,162.548092100681
0,1,9,GoalBias,1,3.2363851070404053,62,119,155.0419662845803
0,2,0,GoalBias,1,5.731127023696899,175,175,137.8921048477216
0,1,9,Hybrid,1,16.38475203514099,249,243,132.4332970532303
0,2,0,Hybrid,1,9.643008947372437,301,246,198.03056263349535
0,1,9,RRT*,1,20.02976369857788,460,466,127.2745001808682
0,2,0,RRT*,1,19.886147022247314,487,472,148.05641046055487
0,2,1,RRT*,1,7.863837957382202,243,253,153.99383878712328
0,2,1,GoalBias,1,8.115614175796509,297,233,151.45094765727922
0,2,2,GoalBias,1,5.370387077331543,268,180,166.65543780767803
0,2,2,RRT*,1,10.519484996795654,442,288,146.53695734402595
0,2,3,GoalBias,1,4.934607982635498,176,193,130.5972244086417
0,2,3,Hybrid,1,4.997499942779541,133,150,112.49347354081358
0,2,1,Hybrid,1,26.78091287612915,389,394,232.428762551186
0,2,3,RRT*,1,17.81472897529602,518,488,163.08039139830993
0,2,2,Hybrid,1,22.924434900283813,295,292,119.0116205149625
0,2,4,RRT*,1,7.909140110015869,282,233,142.07249045704643
0,2,4,Hybrid,1,4.615137100219727,171,177,177.95446303009507
0,2,5,GoalBias,1,5.571556806564331,182,188,131.80837909815847
0,2,4,GoalBias,1,10.833919048309326,414,301,141.49478224749825
0,2,5,Hybrid,1,6.5644800662994385,267,159,134.43371784639191
0,2,6,GoalBias,1,4.796963930130005,150,138,147.0450111799023
0,2,5,RRT*,1,15.5596022605896,450,436,131.76809059156307
0,2,7,RRT*,1,6.146024942398071,164,229,131.55009310611484
0,2,7,GoalBias,1,9.334731101989746,274,220,165.37279725679429
0,2,6,Hybrid,1,19.29293203353882,286,248,181.87973452456725
0,2,6,RRT*,1,23.108866214752197,693,532,230.75303467506077
0,2,8,RRT*,1,10.83040714263916,318,318,147.82389363158697
0,2,8,Hybrid,1,6.901424884796143,185,171,126.48045460392623
0,2,8,GoalBias,1,9.030602931976318,285,259,141.44964670084485
0,2,7,Hybrid,1,19.14253282546997,384,364,123.86039529844787
0,2,9,GoalBias,1,5.535704135894775,235,194,139.88632431522004
0,3,0,GoalBias,1,4.174429178237915,124,167,113.36925003245514
0,3,0,RRT*,1,8.723419189453125,285,270,172.22030904797143
0,3,0,Hybrid,1,2.2837371826171875,102,86,149.45912720211516
0,3,1,RRT*,1,3.84446120262146,99,139,145.00319727037498
0,3,1,GoalBias,1,2.826200246810913,53,121,114.7931878253196
